Date;Lat;Lon;Dep;Mag;Place
2016.07.19;37.0902;28.8163;005.0;3.6;YAYLA-KOYCEGIZ (MUGLA) [ 8.47 km]
2016.07.19;37.1920;26.8567;008.7;4.1;ONIKI ADALAR (AKDENIZ)
2016.07.18;38.5775;27.3595;011.7;3.9;KAYAPINAR- (MANISA) [ 2.45 km]
2016.07.17;37.9998;29.3878;006.0;4.0;YAZIR-CAL (DENIZLI) [West 3.4 km]
2016.07.17;38.5282;26.4125;016.1;3.8;KUCUKBAHCE-KARABURUN (IZMIR) [ 3.99 km]
2016.07.17;40.7032;29.1660;011.4;4.1;KORU-CINARCIK (YALOVA) [North 5.5 km]
2016.07.16;36.9475;35.5335;005.0;3.8;VAYVAYLI-YUREGIR (ADANA) [ 10.12 km]
2016.07.15;36.5818;28.7920;006.0;3.8;DALAMAN ACIKLARI-MUGLA (AKDENIZ)
2016.07.13;35.8657;31.0648;007.8;4.3;AKDENIZ
2016.07.12;36.0397;29.7207;007.6;3.8;KAS ACIKLARI-ANTALYA (AKDENIZ)
2016.07.12;41.3547;43.4983;011.6;3.5;GURCISTAN
2016.07.12;41.3437;44.0470;005.0;4.8;GURCISTAN
2016.07.11;38.3592;27.5003;008.9;3.5;ASAGIKIZILCA-KEMALPASA (IZMIR) [South West 4.4 km]
2016.07.10;35.0768;26.8678;014.7;3.6;GIRIT ADASI ACIKLARI (AKDENIZ)
2016.07.09;36.4010;29.1922;012.4;3.7;DODURGA-FETHIYE (MUGLA) [West 1.3 km]
2016.07.09;36.0680;29.7080;005.0;3.6;KAS ACIKLARI-ANTALYA (AKDENIZ)
2016.07.09;40.7070;29.1948;009.5;3.8;YALOVA ACIKLARI (MARMARA DENIZI)
2016.07.09;36.9797;30.4645;101.3;4.2;SOGUTCUK-KORKUTELI (ANTALYA) [ 9.63 km]
2016.07.06;36.9050;36.0315;004.4;3.9;ASAGIBURNAZ-ERZIN (HATAY) [ 4.2 km]
2016.07.03;38.7785;27.7923;012.3;4.1;SAZOBA-AKHISAR (MANISA) [South 1.9 km]
2016.07.03;38.5000;44.7323;005.0;4.0;TURKIYE-IRAN SINIR BOLGESI
2016.07.03;36.0687;29.7183;004.7;4.1;KAS ACIKLARI-ANTALYA (AKDENIZ)
2016.07.02;38.7627;27.8018;011.4;4.0;KUMKUYUCAK-SARUHANLI (MANISA) [North West 2.6 km]
2016.07.02;38.8907;43.5468;005.0;4.1;COLPAN- (VAN) [ 1.96 km]
2016.06.29;40.3483;37.9195;004.2;3.7;IKIZYAKA-KOYULHISAR (SIVAS) [ 3.63 km]
2016.06.29;35.0780;27.7537;023.9;3.7;AKDENIZ
2016.06.25;40.7068;29.2122;009.3;4.5;YALOVA ACIKLARI (MARMARA DENIZI)
